timeRec,pitchCommand
1.739922086304125071e+09,-7.324218750000000000e-04
1.739922086304407120e+09,-7.324218750000000000e-04
1.739922086304615974e+09,-7.324218750000000000e-04
1.739922086304805517e+09,-7.324218750000000000e-04
1.739922086304988623e+09,-7.324218750000000000e-04
1.739922086305122137e+09,-7.324218750000000000e-04
1.739922086305251360e+09,-7.324218750000000000e-04
1.739922086305375814e+09,-7.324218750000000000e-04
1.739922086305498123e+09,-7.324218750000000000e-04
1.739922086305617094e+09,-7.324218750000000000e-04
1.739922086305735111e+09,-7.324218750000000000e-04
1.739922086305852652e+09,-7.324218750000000000e-04
1.739922086305971622e+09,-7.324218750000000000e-04
1.739922086306089401e+09,-7.324218750000000000e-04
1.739922086306207657e+09,-7.324218750000000000e-04
1.739922086306324482e+09,-7.324218750000000000e-04
1.739922086306440353e+09,-7.324218750000000000e-04
1.739922086306556940e+09,-7.324218750000000000e-04
1.739922086306672812e+09,-7.324218750000000000e-04
1.739922086306788445e+09,-7.324218750000000000e-04
1.739922086306903839e+09,-7.324218750000000000e-04
1.739922086307132959e+09,-7.324218750000000000e-04
1.739922086307252169e+09,-7.324218750000000000e-04
1.739922086307368279e+09,-7.324218750000000000e-04
1.739922086307483673e+09,-7.324218750000000000e-04
1.739922086307599545e+09,-7.324218750000000000e-04
1.739922086307714462e+09,-7.324218750000000000e-04
1.739922086307832003e+09,-7.324218750000000000e-04
1.739922086307946444e+09,-7.324218750000000000e-04
1.739922086308078527e+09,-7.324218750000000000e-04
1.739922086308194399e+09,-7.324218750000000000e-04
1.739922086308309078e+09,-7.324218750000000000e-04
1.739922086308424234e+09,-7.324218750000000000e-04
1.739922086308538914e+09,-7.324218750000000000e-04
1.739922086308653593e+09,-7.324218750000000000e-04
1.739922086308768511e+09,-7.324218750000000000e-04
1.739922086308883429e+09,-7.324218750000000000e-04
1.739922086309006929e+09,-7.324218750000000000e-04
1.739922086309133053e+09,-7.324218750000000000e-04
1.739922086309253931e+09,-7.324218750000000000e-04
1.739922086309375286e+09,-7.324218750000000000e-04
1.739922086309497118e+09,-7.324218750000000000e-04
1.739922086309710264e+09,-7.324218750000000000e-04
1.739922086309834480e+09,-7.324218750000000000e-04
1.739922086309956789e+09,-7.324218750000000000e-04
1.739922086310078144e+09,-7.324218750000000000e-04
1.739922086310199976e+09,-7.324218750000000000e-04
1.739922086310321331e+09,-7.324218750000000000e-04
1.739922086310442924e+09,-7.324218750000000000e-04
1.739922086310564518e+09,-7.324218750000000000e-04
1.739922086310685158e+09,-7.324218750000000000e-04
1.739922086310806274e+09,-7.324218750000000000e-04
1.739922086310926914e+09,-7.324218750000000000e-04
1.739922086311055422e+09,-7.324218750000000000e-04
1.739922086311178207e+09,-7.324218750000000000e-04
1.739922086311299801e+09,-7.324218750000000000e-04
1.739922086311421156e+09,-7.324218750000000000e-04
1.739922086311542749e+09,-7.324218750000000000e-04
1.739922086311678886e+09,-7.324218750000000000e-04
1.739922086311822653e+09,-7.324218750000000000e-04
1.739922086311962366e+09,-4.897705078125000000e+00
1.739922086312118292e+09,-3.569091796875000000e+00
1.739922086312259912e+09,-2.243896484375000000e+00
1.739922086312526941e+09,-8.967285156250000000e-01
1.739922086312711716e+09,4.475097656250000000e-01
1.739922086312846184e+09,1.800537109375000000e+00
1.739922086313021183e+09,3.163818359375000000e+00
1.739922086313153744e+09,4.496826171875000000e+00
1.739922086313285112e+09,5.859863281250000000e+00
1.739922086313414812e+09,7.222656250000000000e+00
1.739922086313546419e+09,8.563476562500000000e+00
1.739922086313677311e+09,9.931152343750000000e+00
1.739922086313807964e+09,1.128027343750000000e+01
1.739922086313947916e+09,1.263134765625000000e+01
1.739922086314077377e+09,1.400463867187500000e+01
1.739922086314207315e+09,1.534570312500000000e+01
1.739922086314336538e+09,1.671704101562500000e+01
1.739922086314464808e+09,1.807128906250000000e+01
1.739922086314593792e+09,1.941088867187500000e+01
1.739922086314722300e+09,2.078686523437500000e+01
1.739922086314850569e+09,2.211840820312500000e+01
1.739922086314980507e+09,2.235571289062500000e+01
1.739922086315140009e+09,2.235522460937500000e+01
1.739922086315269232e+09,2.235522460937500000e+01
1.739922086315533400e+09,2.235522460937500000e+01
1.739922086315665007e+09,2.235522460937500000e+01
1.739922086315838575e+09,2.235522460937500000e+01
1.739922086316022158e+09,2.235522460937500000e+01
1.739922086316203594e+09,2.235522460937500000e+01
1.739922086316383839e+09,2.235522460937500000e+01
1.739922086316559792e+09,2.235571289062500000e+01
1.739922086316746950e+09,2.235571289062500000e+01
1.739922086316929102e+09,2.235571289062500000e+01
1.739922086317061901e+09,2.235571289062500000e+01
1.739922086317222834e+09,2.235571289062500000e+01
1.739922086317337036e+09,2.235571289062500000e+01
1.739922086317448139e+09,2.235571289062500000e+01
1.739922086317559242e+09,2.235571289062500000e+01
1.739922086317669153e+09,2.235571289062500000e+01
1.739922086317778587e+09,2.235571289062500000e+01
1.739922086317903280e+09,2.235571289062500000e+01
1.739922086318013668e+09,2.235571289062500000e+01
1.739922086318122387e+09,2.235571289062500000e+01
1.739922086318231821e+09,2.235571289062500000e+01
1.739922086318341017e+09,2.235571289062500000e+01
